id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;defeitos_bess_carga;defeitos_bess_pós_carga_pré_descarga;defeitos_bess_descarga;defeitos_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
72;ceu_aberto;3;176,9;2;243,15000000000003;1;1;1;1;1;1;1;1;0;10
73;nublado;2;176,9;2;270,19;1;1;1;1;1;1;1;1;0;10
74;nublado;1;176,9;2;132,49;1;1;1;1;1;1;1;1;0;10
75;ceu_aberto;1;176,9;2;248,74;1;1;1;1;1;1;1;1;0;10
76;ceu_aberto;1;176,9;2;304,82000000000005;1;1;1;1;1;1;1;1;0;10
77;nublado;1;176,9;2;221,48000000000002;1;1;1;1;1;1;1;1;0;10
78;parcialmente_nublado;1;176,9;2;426,54;1;1;1;1;1;1;1;1;0;10
79;parcialmente_nublado;2;176,9;2;373,69;1;1;1;1;1;1;1;1;0;10
80;parcialmente_nublado;1;176,9;2;331,82;1;1;1;1;1;1;1;1;0;10
81;ceu_aberto;1;176,9;2;166,44;1;1;1;1;1;1;1;1;0;10
82;ceu_aberto;1;176,9;2;463,32;1;1;1;1;1;1;1;1;0;10
83;parcialmente_nublado;2;176,9;2;136,79999999999998;1;1;1;1;1;1;1;1;0;10
84;ceu_aberto;2;176,9;2;329,92;1;1;1;1;1;1;1;1;0;10
85;ceu_aberto;1;176,9;2;404,26;1;1;1;1;1;1;1;1;0;10
86;nublado;1;176,9;2;260,87;1;1;1;1;1;1;1;1;0;10
87;parcialmente_nublado;1;176,9;2;321,65;1;1;1;1;1;1;1;1;0;10
88;ceu_aberto;1;176,9;2;186,3;1;1;1;1;1;1;1;1;0;10
89;nublado;3;176,9;2;259,83;1;1;1;1;1;1;1;1;0;10
90;ceu_aberto;1;176,9;2;263,93;1;1;1;1;1;1;1;1;0;10
91;nublado;1;176,9;2;354,96000000000004;1;1;1;1;1;1;1;1;0;10
92;parcialmente_nublado;1;176,9;2;339,67;1;1;1;1;1;1;1;1;0;10
93;ceu_aberto;1;176,9;2;318,56;1;1;1;1;1;1;1;1;0;10
94;nublado;1;176,9;2;295,34000000000003;1;1;1;1;2;1;1;1;0;10
95;nublado;1;176,9;2;193,07;1;1;1;1;1;1;1;1;0;10
96;parcialmente_nublado;1;176,9;2;281,89;1;1;1;1;1;1;1;1;0;10
97;nublado;2;176,9;2;298,02;1;1;1;1;1;1;1;1;0;10
98;parcialmente_nublado;1;176,9;2;311,59000000000003;1;1;1;1;1;1;1;1;0;10
99;ceu_aberto;1;176,9;2;299,36;1;1;1;1;1;1;1;1;0;10
100;nublado;1;176,9;2;323,39;1;1;1;1;1;1;1;1;0;10
101;parcialmente_nublado;2;176,9;2;179,26999999999998;1;1;1;1;1;1;1;1;0;10
102;parcialmente_nublado;2;176,9;2;305,02;1;1;1;1;1;1;1;1;0;10
103;parcialmente_nublado;1;176,9;2;290,53000000000003;1;1;1;1;1;1;1;1;0;10
104;parcialmente_nublado;1;176,9;2;235,98000000000002;1;1;1;1;1;1;1;1;0;10
105;parcialmente_nublado;1;176,9;2;314,41999999999996;1;1;1;1;1;1;1;1;0;10
106;nublado;1;176,9;2;374,55;1;1;1;1;1;1;1;1;0;10
107;ceu_aberto;1;176,9;2;327,71000000000004;1;1;1;1;1;1;1;1;0;10
108;ceu_aberto;1;176,9;2;244,09;1;1;1;1;1;1;1;1;0;10
109;nublado;1;176,9;2;416,3;1;1;1;1;1;1;1;1;0;10
110;parcialmente_nublado;1;176,9;2;307,45;1;1;1;1;1;1;1;1;0;10
111;parcialmente_nublado;1;176,9;2;488,52;1;1;1;1;2;1;5;1;0;10
112;parcialmente_nublado;1;176,9;2;382,85;1;1;1;1;1;1;1;1;0;10
113;ceu_aberto;1;176,9;2;233,19;1;1;1;1;1;1;1;1;0;10
114;nublado;2;176,9;2;179,89;1;1;1;1;1;1;1;1;0;10
115;parcialmente_nublado;1;176,9;2;363,65;1;1;1;1;1;1;1;1;0;10
116;parcialmente_nublado;1;176,9;2;367,78;1;1;1;1;1;1;1;1;0;10
117;parcialmente_nublado;1;176,9;2;319,49;1;1;1;1;1;1;1;1;0;10
118;ceu_aberto;1;176,9;2;413,93;1;1;1;1;1;1;1;1;0;10
119;parcialmente_nublado;1;176,9;2;173,39999999999998;1;1;1;1;1;1;1;1;0;10
120;parcialmente_nublado;3;176,9;2;344,06;1;1;1;1;1;1;1;1;0;10
121;parcialmente_nublado;3;176,9;2;259,82;1;1;1;1;1;1;1;1;0;10
