id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
77;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;27;0;110
78;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;14;1;8;2;33;0;110
79;parcialmente_nublado;5;1945,91;5;681,07;1;27;1;33;2;8;2;0;1;33;1;14;1;8;2;12;0;110
80;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;24;1;33;2;8;2;0;1;33;1;9;1;8;2;23;0;110
81;ceu_aberto;5;1945,9;5;681,0600000000001;1;33;1;24;2;8;2;0;1;33;1;11;1;8;2;28;0;110
82;ceu_aberto;5;1945,9;5;681,0699999999999;1;34;1;27;2;8;2;0;1;33;1;11;1;8;2;34;0;110
83;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;30;1;13;2;8;2;0;1;30;1;9;1;8;2;12;0;110
84;ceu_aberto;5;1945,9;5;681,0699999999999;1;28;1;24;2;8;2;0;1;28;1;11;1;8;2;24;0;110
85;parcialmente_nublado;5;1945,9;5;681,07;1;32;1;11;2;8;2;0;1;32;1;9;1;8;2;21;0;110
86;parcialmente_nublado;5;1945,89;5;681,0799999999999;1;33;1;12;2;8;2;0;1;12;1;9;1;8;2;33;0;110
87;nublado;5;1945,91;5;681,0699999999999;1;16;1;9;2;8;2;0;1;9;1;9;1;8;2;16;0;110
88;ceu_aberto;5;1945,9;5;681,07;1;32;1;30;2;8;2;0;1;30;1;9;1;8;2;32;0;110
89;parcialmente_nublado;5;1945,9;5;681,08;1;16;1;17;2;8;2;0;1;12;1;15;1;8;2;16;0;110
90;nublado;5;1945,9;5;681,0699999999999;1;11;1;11;2;10;2;0;1;11;1;9;1;8;2;13;0;110
91;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
92;parcialmente_nublado;5;1945,9;5;681,06;1;33;1;17;2;8;2;0;1;33;1;14;1;8;2;32;0;110
93;ceu_aberto;5;1945,9;5;681,0600000000001;1;32;1;33;2;8;2;0;1;33;1;18;1;8;2;32;0;110
94;nublado;5;1945,89;5;681,07;1;12;1;11;2;8;2;0;1;14;1;9;1;8;2;9;0;110
95;parcialmente_nublado;5;1945,9;5;681,07;1;12;1;27;2;8;2;0;1;27;1;9;1;8;2;12;0;110
96;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;33;1;27;2;8;2;0;1;33;1;9;1;8;2;9;0;110
97;parcialmente_nublado;5;1945,91;5;681,06;1;33;1;12;2;8;2;0;1;33;1;9;1;8;2;24;0;110
98;ceu_aberto;5;1945,9;5;681,0500000000001;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
99;nublado;5;1945,89;5;681,07;1;16;1;12;2;8;2;0;1;11;1;12;1;8;2;16;0;110
100;parcialmente_nublado;5;1945,9;5;681,0600000000001;1;23;1;12;2;8;2;0;1;12;1;9;1;8;2;23;0;110
101;ceu_aberto;5;1945,91;5;681,0600000000001;1;33;1;32;2;8;2;0;1;33;1;11;1;8;2;28;0;110
102;parcialmente_nublado;5;1945,9;5;681,07;1;16;1;11;2;9;2;0;1;16;1;9;1;9;2;16;0;110
103;ceu_aberto;5;1945,9;5;681,07;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;28;0;110
104;ceu_aberto;5;1945,91;5;681,07;1;33;1;33;2;9;2;0;1;33;1;11;1;9;2;30;0;110
105;parcialmente_nublado;5;1945,91;5;681,05;1;21;1;23;2;8;2;0;1;23;1;9;1;8;2;11;0;110
106;parcialmente_nublado;5;1945,9;5;681,06;1;27;1;24;2;8;2;0;1;27;1;9;1;8;2;24;0;110
107;nublado;5;1945,92;5;681,06;1;19;1;13;2;8;2;0;1;13;1;9;1;8;2;19;0;110
108;ceu_aberto;5;1945,9;5;681,06;1;33;1;27;2;8;2;0;1;33;1;9;1;8;2;33;0;110
109;parcialmente_nublado;5;1945,89;5;681,06;1;33;1;24;2;8;2;0;1;33;1;9;1;8;2;32;0;110
110;ceu_aberto;5;1945,9;5;681,0699999999999;1;32;1;33;2;8;2;0;1;33;1;9;1;8;2;27;0;110
111;ceu_aberto;5;1945,91;5;681,06;1;33;1;33;2;8;2;0;1;33;1;16;1;8;2;33;0;110
112;ceu_aberto;5;1945,9;5;681,0699999999999;1;28;1;33;2;8;2;0;1;33;1;12;1;8;2;24;0;110
113;ceu_aberto;5;1945,9;5;681,0600000000001;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
114;ceu_aberto;5;1945,89;5;681,07;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;28;0;110
115;ceu_aberto;5;1945,89;5;681,06;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;32;0;110
116;parcialmente_nublado;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;28;0;110
117;parcialmente_nublado;5;1945,92;5;681,05;1;13;1;22;2;8;2;0;1;22;1;9;1;8;2;11;0;110
118;parcialmente_nublado;5;1945,9;5;681,07;1;32;1;9;2;8;2;0;1;27;1;9;1;8;2;32;0;110
119;ceu_aberto;5;1945,91;5;681,05;1;33;1;33;2;8;2;0;1;33;1;13;1;8;2;33;0;110
120;ceu_aberto;5;1945,89;5;681,0699999999999;1;33;1;32;2;8;2;0;1;33;1;9;1;8;2;23;0;110
121;ceu_aberto;5;1945,91;5;681,06;1;33;1;28;2;8;2;0;1;33;1;9;1;8;2;33;0;110
122;parcialmente_nublado;5;1945,9;5;681,0500000000001;1;26;1;32;2;7;2;0;1;32;1;9;1;7;2;11;0;110
