hour,bess,bus,v_pu,q_kvar,q_pu,q_active,pnom_kw,soc_pct,bess_state,soc_warn
15,bess_barra848,848,1.030554,-0.3796,-0.0079,True,109.99,20.0,Idling,False
16,bess_barra860,860,1.032257,-1.8603,-0.0322,True,132.38,20.0,Idling,False
16,bess_barra890,890,0.944143,13.6318,0.3694,True,84.68,38.39,Idling,False
16,bess_barra840,840,1.032323,-3.3576,-0.0332,True,232.15,20.0,Idling,False
16,bess_barra844,844,1.032354,-1.216,-0.0336,True,82.98,20.0,Idling,False
16,bess_barra848,848,1.032966,-2.0312,-0.0424,True,109.99,20.0,Idling,False
17,bess_barra860,860,1.027575,0.0,0.0,False,132.38,20.0,Idling,False
17,bess_barra890,890,0.964247,3.0331,0.0822,True,84.68,38.39,Idling,False
17,bess_barra840,840,1.027456,0.0,0.0,False,232.15,20.0,Idling,False
17,bess_barra844,844,1.027797,0.0,0.0,False,82.98,20.0,Idling,False
17,bess_barra848,848,1.028211,0.0,0.0,False,109.99,20.0,Idling,False
18,bess_barra860,860,1.03463,-3.8155,-0.0661,True,132.38,20.0,Idling,False
18,bess_barra890,890,0.979876,0.0,0.0,False,84.68,38.39,Idling,False
18,bess_barra840,840,1.034512,-6.521,-0.0645,True,232.15,20.0,Idling,False
18,bess_barra844,844,1.03488,-2.521,-0.0697,True,82.98,20.0,Idling,False
18,bess_barra848,848,1.035282,-3.6168,-0.0755,True,109.99,20.0,Idling,False
19,bess_barra860,860,1.027991,0.0,0.0,False,132.38,20.0,Idling,False
19,bess_barra890,890,0.974553,0.0,0.0,False,84.68,35.57,Discharging,False
19,bess_barra840,840,1.027869,0.0,0.0,False,232.15,20.0,Idling,False
19,bess_barra844,844,1.028244,0.0,0.0,False,82.98,20.0,Idling,False
19,bess_barra848,848,1.028572,0.0,0.0,False,109.99,20.0,Idling,False
20,bess_barra860,860,1.027842,0.0,0.0,False,132.38,20.0,Idling,False
20,bess_barra890,890,0.974406,0.0,0.0,False,84.68,32.75,Discharging,False
20,bess_barra840,840,1.027722,0.0,0.0,False,232.15,20.0,Idling,False
20,bess_barra844,844,1.028096,0.0,0.0,False,82.98,20.0,Idling,False
20,bess_barra848,848,1.028423,0.0,0.0,False,109.99,20.0,Idling,False
21,bess_barra860,860,1.032222,-1.8315,-0.0317,True,132.38,20.0,Idling,False
21,bess_barra890,890,0.982276,0.0,0.0,False,84.68,29.89,Discharging,False
21,bess_barra840,840,1.031909,-2.7591,-0.0273,True,232.15,20.0,Idling,False
21,bess_barra844,844,1.03243,-1.2555,-0.0347,True,82.98,20.0,Idling,False
21,bess_barra848,848,1.032444,-1.6738,-0.0349,True,109.99,20.0,Idling,False
22,bess_barra860,860,1.037379,-6.0814,-0.1054,True,132.38,20.0,Idling,False
22,bess_barra890,890,0.989248,0.0,0.0,False,84.68,27.0,Discharging,False
22,bess_barra840,840,1.037255,-10.4856,-0.1036,True,232.15,20.0,Idling,False
22,bess_barra844,844,1.037652,-3.9533,-0.1093,True,82.98,20.0,Idling,False
22,bess_barra848,848,1.037991,-5.4722,-0.1142,True,109.99,20.0,Idling,False
23,bess_barra860,860,1.031867,-1.5388,-0.0267,True,132.38,20.0,Idling,False
23,bess_barra890,890,0.991389,0.0,0.0,False,84.68,27.0,Idling,False
23,bess_barra840,840,1.031709,-2.4693,-0.0244,True,232.15,20.0,Idling,False
23,bess_barra844,844,1.032091,-1.0801,-0.0299,True,82.98,20.0,Idling,False
23,bess_barra848,848,1.032379,-1.6288,-0.034,True,109.99,20.0,Idling,False
24,bess_barra860,860,1.032045,-1.6854,-0.0292,True,132.38,20.0,Idling,False
24,bess_barra890,890,0.994025,0.0,0.0,False,84.68,27.0,Idling,False
24,bess_barra840,840,1.031964,-2.8389,-0.0281,True,232.15,20.0,Idling,False
24,bess_barra844,844,1.032313,-1.195,-0.033,True,82.98,20.0,Idling,False
24,bess_barra848,848,1.032731,-1.8699,-0.039,True,109.99,20.0,Idling,False
