id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
434;parcialmente_nublado;5;1769,01;5;619,15;26;9;24;7;2;6;2;0;26;7;1;7;1;6;2;9;0;24;100
435;ceu_aberto;5;1768,99;5;619,16;28;7;28;7;2;6;2;0;28;7;1;7;1;6;10;7;0;19;100
436;ceu_aberto;5;1769,01;5;619,14;28;7;28;7;2;6;2;0;28;7;1;7;1;6;23;7;0;19;100
437;parcialmente_nublado;5;1768,99;5;619,16;1;7;2;7;2;6;2;0;2;7;1;6;1;6;2;7;0;24;100
438;parcialmente_nublado;5;1769,01;5;619,14;2;7;2;7;2;6;2;0;2;7;1;6;1;6;2;7;0;24;100
439;ceu_aberto;5;1769,01;5;619,15;29;7;27;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
440;ceu_aberto;5;1769,0;5;619,1500000000001;12;7;22;7;2;6;2;0;22;7;1;7;1;6;13;7;0;19;100
441;nublado;5;1769,01;5;619,15;1;9;4;7;2;6;2;0;4;7;1;6;1;6;2;9;0;21;100
442;ceu_aberto;5;1769,0;5;619,14;24;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
443;parcialmente_nublado;5;1769,01;5;619,1500000000001;4;7;3;7;2;6;2;0;4;7;1;6;1;6;2;7;0;24;100
444;nublado;5;1769,0;5;619,1600000000001;1;7;1;6;2;6;2;0;1;6;1;6;1;6;2;7;0;21;100
445;ceu_aberto;5;1768,99;5;619,1499999999999;4;9;29;7;2;6;2;0;29;7;1;7;1;6;2;9;0;19;100
446;parcialmente_nublado;5;1769,0;5;619,15;27;7;24;7;2;6;2;0;27;6;1;7;1;6;2;7;0;24;100
447;ceu_aberto;5;1769,0;5;619,15;10;7;27;7;2;6;2;0;27;7;1;7;1;6;11;7;0;19;100
448;ceu_aberto;5;1769,01;5;619,15;26;7;26;7;2;6;2;0;26;7;1;7;1;6;7;7;0;19;100
449;ceu_aberto;5;1769,0;5;619,15;29;7;26;7;2;6;2;0;29;7;1;7;1;6;3;7;0;19;100
450;parcialmente_nublado;5;1768,99;5;619,15;22;7;2;7;2;6;2;0;22;7;1;7;1;6;2;7;0;24;100
