id;tipo_dia;hora_00;hora_01;hora_02;hora_03;hora_04;hora_05;hora_06;hora_07;hora_08;hora_09;hora_10;hora_11;hora_12;hora_13;hora_14;hora_15;hora_16;hora_17;hora_18;hora_19;hora_20;hora_21;hora_22;hora_23
238;parcialmente_nublado;0,0008292469728189119;0,0010595441877296328;0,0008867712304755642;0,0011532181711127313;0,0007380022722707397;0,004133392710549765;0,0638311805235335;0,17692213420766245;0,47049603574516036;0,5643886668958874;0,795615580706598;1,0;0,8951931235314607;0,7431120542329834;0,5936878361768153;0,3645591513261223;0,1564914196423319;0,07086243308175484;0,004912366686517564;0,0005807632180816961;0,0005832161077949688;0,00042569487855888824;0,0003850387164996022;0,0003964904249379136
239;ceu_aberto;0,0;0,0;0,0;0,0;9,925549401799143e-05;0,0030178441329348216;0,04367461068713083;0,20668334896277235;0,4937602098197841;0,7298323580947265;1,0;1,0;0,9916729210448537;0,9876289504818471;0,7446479362031881;0,5852248539323025;0,23177508716091172;0,04776831857638922;0,002011696492110798;0,00029199768218361857;0,0;0,0;0,0;8,27873106619201e-05
240;parcialmente_nublado;0,0008579544724351137;0,0009103830988573607;0,000824405239441118;0,0010053770208646741;0,0008771412542586923;0,004396714064768569;0,05451282205308586;0,1589393528009076;0,31566185129951563;0,7131374014540269;1,0;0,961508851915513;0,8488316230844001;0,9195292242576064;0,4913151646899582;0,4610700463432748;0,17039896765476484;0,046604782719596234;0,004982516826742468;0,0007854281335134632;0,0006988133282867055;0,0003060881140783383;0,00035648227057021373;0,00041509475561000216
241;parcialmente_nublado;0,0010969527849693812;0,0007697014131592806;0,0008295304325982884;0,0010875254949105923;0,0008631927154785635;0,005591383618070972;0,0541287315467222;0,18073691748465753;0,32342273267638666;0,6496013447781117;0,9195494252988636;0,5934219370253857;0,8877773216977464;0,6150555021496951;0,43759097901538047;0,5057859199293917;0,22138927967123498;0,046058492962862074;0,005145954932564509;0,0007543109721163207;0,0004784322718978621;0,00036106235019719914;0,0004564458634891353;0,00035926186279105024
242;ceu_aberto;0,0;0,0;0,0;0,0;9,247074226675799e-05;0,0030764359268084258;0,04511799195119338;0,2258790635699365;0,4732273017374038;0,7361630532879664;0,8632772770105152;0,9690628095951528;0,9649626737201609;0,7979498184923369;0,7921508603445284;0,46129016513507354;0,2414580879326303;0,045226929819647384;0,0020649495057739413;0,0003142283905377244;0,0;0,0;0,0;9,457083666257367e-05
243;nublado;0,00047553158164716783;0,0;0,0;9,781980566790161e-05;0,0;0,009233416253769328;0,08857447678358597;0,21570628064899647;0,3882370769117704;0,5869866537217604;0,6696464688918727;0,6767327267762429;0,6018129931679349;0,5590821474040699;0,5682222968653741;0,3759687833706094;0,1780473507274756;0,05173643139229366;0,00411872013416008;0,0;0,0001994164146854236;0,001260087323530139;0,0015939559779118082;0,0017800221488731784
244;ceu_aberto;0,0;0,0;0,0;0,0;9,204092740556775e-05;0,0027154944113591847;0,04372754182677473;0,23384102242210944;0,5050045258478196;0,6388783570365596;0,8635343474339512;1,0;0,9349636677655504;1,0;0,776348681400146;0,5422217138723331;0,22960325229735795;0,04495090048583558;0,0019661394189374286;0,00031677546011974313;0,0;0,0;0,0;0,00010416178005193264
245;parcialmente_nublado;0,0009315061757942521;0,0008587872697391912;0,0007344545038574997;0,0007565988318702137;0,00087853408449613;0,0037435134723850867;0,049623381590608424;0,19147807138970538;0,26821368726165684;0,564307330080443;0,761822842243921;1,0;0,7308884125232792;0,8603815377554165;0,5789129347266585;0,30837215131798174;0,1691508745973146;0,059761456149307585;0,006041253694214257;0,00072507972892301;0,0006371222690998763;0,00032533494183159805;0,0003872878201684289;0,0003690692950174021
246;parcialmente_nublado;0,0009014678303027892;0,0005758391072432007;0,0010024509759495423;0,000912244488595607;0,0008902853597307442;0,003644177929927684;0,04988669254006923;0,11593013768179856;0,46461383920145893;0,4899088444307305;0,70976758762311;0,9974362662654672;0,9992810536322463;0,6027610209152631;0,6340278199796994;0,3074555010670936;0,198882637761559;0,044401702627357556;0,004331582640387636;0,0008050758210653771;0,000521860412650366;0,0005453377833720296;0,00035552008363980923;0,0003141791329615547
247;ceu_aberto;0,0;0,0;0,0;0,0;0,00010085616433691549;0,00314916994820185;0,04162368544044365;0,18104986777485313;0,4581349919839523;0,7269283586628652;0,9328111383269083;0,9131907998871936;0,9406367493971358;0,8286945390179457;0,6890940300822544;0,47283042720660134;0,22854269145842748;0,045485093485233406;0,002116858130410707;0,000282244008776707;0,0;0,0;0,0;0,00010378427842773369
