id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;defeitos_bess_carga;defeitos_bess_pós_carga_pré_descarga;defeitos_bess_descarga;defeitos_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
1;parcialmente_nublado;5;2700,0;5;852,76;28;25;2;1;31;9;9;15;0;160
2;nublado;5;2500,0;5;761,02;22;18;1;1;22;7;8;1;0;160
3;ceu_aberto;5;2750,0;5;717,62;32;32;1;1;35;24;7;15;0;160
4;parcialmente_nublado;5;1250,0;5;832,3799999999999;2;2;2;1;7;1;9;1;0;160
5;parcialmente_nublado;5;1250,0;5;713,66;8;7;1;1;9;1;8;1;0;160
6;ceu_aberto;5;1500,0;5;778,3299999999999;8;7;2;1;9;1;9;1;0;160
7;parcialmente_nublado;5;1100,0;5;508,55;2;1;1;1;7;1;2;1;0;160
8;nublado;5;2150,0;5;811,79;9;7;1;1;9;5;8;1;0;160
9;parcialmente_nublado;5;1300,0;5;763,4300000000001;8;7;1;1;9;1;9;1;0;160
10;ceu_aberto;5;1650,0;5;1024,4399999999998;11;8;6;1;9;7;10;1;0;160
11;nublado;5;1250,0;5;781,73;7;1;1;1;7;1;7;1;0;160
12;ceu_aberto;5;1550,0;5;786,63;8;8;1;1;11;2;7;1;0;160
13;parcialmente_nublado;5;2830,4;5;845,1400000000001;28;27;1;1;31;18;9;15;0;160
14;parcialmente_nublado;5;2450,0;5;773,52;27;25;1;1;32;7;7;1;0;160
15;nublado;5;2050,0;5;759,96;8;7;1;1;8;1;9;1;0;160
16;parcialmente_nublado;5;2000,0;5;706,94;16;22;1;1;26;2;5;1;0;160
17;ceu_aberto;5;1500,0;5;709,1299999999999;8;7;1;1;9;1;7;1;0;160
18;parcialmente_nublado;5;2100,0;5;685,66;8;7;1;1;9;1;7;1;0;160
19;ceu_aberto;5;1500,0;5;661,19;8;8;1;1;11;1;7;1;0;160
20;parcialmente_nublado;5;1850,0;5;642,83;8;14;1;1;22;1;2;1;0;160
21;parcialmente_nublado;5;1900,0;5;797,8800000000001;25;8;1;1;27;2;9;1;0;160
22;ceu_aberto;5;1800,0;5;966,98;8;8;2;1;14;7;9;1;0;160
23;parcialmente_nublado;5;1000,0;5;767,3100000000001;1;1;2;1;1;1;9;1;0;160
24;nublado;5;1600,0;5;855,8;8;2;2;1;7;1;9;1;0;160
25;nublado;5;2830,4;5;832,95;9;8;2;1;9;7;9;1;0;160
26;nublado;5;2050,0;5;571,82;9;8;1;1;9;2;7;1;0;160
