hour,der,der_type,bus,v_pu_preVoltVar,v_pu_posVoltVar,voltvar_active,iter_count,pnom_kw,q_voltvar_kvar,q/pn(%),soc_pct,bess_state
7,bess_barra890,BESS,890,0.974204,0.974204,False,0,209.34,0.0,0.0,0.0,Idling
7,pv_barra860,PV,860,1.029362,1.029362,False,0,208.83,0.0,0.0,,N/A
7,pv_barra840,PV,840,1.029191,1.029191,False,0,216.87,0.0,0.0,,N/A
7,pv_barra844,PV,844,1.02957,1.02957,False,0,209.32,0.0,0.0,,N/A
7,pv_barra848,PV,848,1.029972,1.029972,False,0,227.33,-0.1247,-0.05,,N/A
7,pv_barra890,PV,890,0.974204,0.974204,False,0,199.06,0.0,0.0,,N/A
8,bess_barra860,BESS,860,1.038191,1.036279,True,1,78.1,-3.9827,-5.1,0.0,Idling
8,bess_barra844,BESS,844,1.038296,1.036382,True,1,215.8,-11.1454,-5.16,0.0,Idling
8,bess_barra840,BESS,840,1.038035,1.03611,True,1,63.29,-3.1659,-5.0,0.0,Idling
8,bess_barra848,BESS,848,1.038713,1.036783,True,1,68.86,-3.7355,-5.42,0.0,Idling
8,bess_barra890,BESS,890,0.959963,0.962737,True,1,209.34,13.0815,6.25,0.0,Idling
8,pv_barra860,PV,860,1.038191,1.036279,True,1,208.83,-10.6493,-5.1,,N/A
8,pv_barra840,PV,840,1.038035,1.03611,True,1,216.87,-10.8482,-5.0,,N/A
8,pv_barra844,PV,844,1.038296,1.036382,True,1,209.32,-10.8107,-5.16,,N/A
8,pv_barra848,PV,848,1.038713,1.036783,True,1,227.33,-12.3321,-5.42,,N/A
8,pv_barra890,PV,890,0.959963,0.962737,True,1,199.06,12.4392,6.25,,N/A
9,bess_barra860,BESS,860,1.040438,1.041606,True,3,78.1,-5.3009,-6.79,0.0,Idling
9,bess_barra844,BESS,844,1.040326,1.041494,True,3,215.8,-14.4974,-6.72,0.0,Idling
9,bess_barra840,BESS,840,1.04027,1.041433,True,3,63.29,-4.2271,-6.68,0.0,Idling
9,bess_barra848,BESS,848,1.040707,1.041872,True,3,68.86,-4.7865,-6.95,0.0,Idling
9,bess_barra890,BESS,890,0.920665,0.930895,True,3,209.34,53.0535,25.34,0.0,Idling
9,pv_barra860,PV,860,1.040438,1.041606,True,3,208.83,-14.1739,-6.79,,N/A
9,pv_barra840,PV,840,1.04027,1.041433,True,3,216.87,-14.4845,-6.68,,N/A
9,pv_barra844,PV,844,1.040326,1.041494,True,3,209.32,-14.0621,-6.72,,N/A
9,pv_barra848,PV,848,1.040707,1.041872,True,3,227.33,-15.8019,-6.95,,N/A
9,pv_barra890,PV,890,0.920665,0.930895,True,3,199.06,50.4482,25.34,,N/A
10,bess_barra860,BESS,860,1.035156,1.038475,True,3,78.1,-3.7346,-4.78,0.0,Idling
10,bess_barra844,BESS,844,1.034985,1.038302,True,3,215.8,-10.0875,-4.67,0.0,Idling
10,bess_barra840,BESS,840,1.035153,1.038476,True,3,63.29,-3.0257,-4.78,0.0,Idling
10,bess_barra848,BESS,848,1.035611,1.038935,True,3,68.86,-3.4885,-5.07,0.0,Idling
10,bess_barra890,BESS,890,0.865882,0.87602,True,3,209.34,91.2304,43.58,0.0,Idling
10,pv_barra860,PV,860,1.035156,1.038475,True,3,208.83,-9.9858,-4.78,,N/A
10,pv_barra840,PV,840,1.035153,1.038476,True,3,216.87,-10.3679,-4.78,,N/A
10,pv_barra844,PV,844,1.034985,1.038302,True,3,209.32,-9.7846,-4.67,,N/A
10,pv_barra848,PV,848,1.035611,1.038935,True,3,227.33,-11.5166,-5.07,,N/A
10,pv_barra890,PV,890,0.865882,0.87602,True,3,199.06,86.7503,43.58,,N/A
11,bess_barra860,BESS,860,1.001844,1.004905,True,3,78.1,0.0,0.0,44.13,Charging
11,bess_barra844,BESS,844,1.00158,1.00464,True,3,215.8,0.0,0.0,46.92,Charging
11,bess_barra840,BESS,840,1.00182,1.004893,True,3,63.29,0.0,0.0,15.62,Charging
11,bess_barra848,BESS,848,1.002158,1.005236,True,3,68.86,0.0,0.0,12.47,Charging
11,bess_barra890,BESS,890,0.81368,0.816022,True,3,209.34,91.2304,43.58,37.08,Charging
11,pv_barra860,PV,860,1.001844,1.004905,True,3,208.83,0.0,0.0,,N/A
11,pv_barra840,PV,840,1.00182,1.004893,True,3,216.87,0.0,0.0,,N/A
11,pv_barra844,PV,844,1.00158,1.00464,True,3,209.32,0.0,0.0,,N/A
11,pv_barra848,PV,848,1.002158,1.005236,True,3,227.33,0.0,0.0,,N/A
11,pv_barra890,PV,890,0.81368,0.816022,True,3,199.06,86.7503,43.58,,N/A
12,bess_barra860,BESS,860,1.008853,1.008855,True,3,78.1,0.0,0.0,88.31,Charging
12,bess_barra844,BESS,844,1.00858,1.008581,True,3,215.8,0.0,0.0,93.89,Charging
