hour,bess,bus,v_pu,q_kvar,q_pu,q_active,pnom_kw,soc_pct,bess_state,soc_warn
16,bess_barra840,840,1.032191,-1.8398,-0.0205,True,205.44,100.0,Idling,False
16,bess_barra844,844,1.032173,-0.7579,-0.0204,True,85.21,100.0,Idling,False
16,bess_barra860,860,1.032081,-0.8656,-0.0191,True,104.14,100.0,Idling,False
16,bess_barra848,848,1.032875,-2.1214,-0.0303,True,160.42,100.0,Idling,False
17,bess_barra890,890,0.973706,0.0,0.0,False,180.26,100.0,Idling,False
17,bess_barra840,840,1.028102,0.0,0.0,False,205.44,100.0,Idling,False
17,bess_barra844,844,1.028305,0.0,0.0,False,85.21,100.0,Idling,False
17,bess_barra860,860,1.028111,0.0,0.0,False,104.14,100.0,Idling,False
17,bess_barra848,848,1.028856,0.0,0.0,False,160.42,100.0,Idling,False
18,bess_barra890,890,0.978646,0.0,0.0,False,180.26,100.0,Idling,False
18,bess_barra840,840,1.030095,-0.2101,-0.0023,True,205.44,100.0,Idling,False
18,bess_barra844,844,1.030479,-0.291,-0.0078,True,85.21,100.0,Idling,False
18,bess_barra860,860,1.030284,-0.2292,-0.0051,True,104.14,100.0,Idling,False
18,bess_barra848,848,1.030768,-0.8381,-0.012,True,160.42,100.0,Idling,False
19,bess_barra890,890,1.016266,-4.2363,-0.0539,True,180.26,47.93,Discharging,False
19,bess_barra840,840,1.039649,-36.6643,-0.4095,True,205.44,20.0,Idling,False
19,bess_barra844,844,1.040311,-15.2655,-0.4111,True,85.21,56.24,Discharging,False
19,bess_barra860,860,1.039998,-18.5808,-0.4094,True,104.14,67.14,Discharging,False
19,bess_barra848,848,1.040648,-29.1064,-0.4163,True,160.42,28.12,Discharging,False
20,bess_barra890,890,0.959335,0.0,0.0,False,180.26,20.0,Idling,False
20,bess_barra840,840,1.008786,-10.3655,-0.1158,True,205.44,20.0,Idling,False
20,bess_barra844,844,1.00926,-4.6579,-0.1254,True,85.21,20.0,Idling,False
20,bess_barra860,860,1.009139,-5.4873,-0.1209,True,104.14,34.8,Discharging,False
20,bess_barra848,848,1.009261,-9.0926,-0.1301,True,160.42,20.0,Idling,False
21,bess_barra890,890,0.959672,5.6552,0.072,True,180.26,20.0,Idling,False
21,bess_barra840,840,1.004929,0.0,0.0,False,205.44,20.0,Idling,False
21,bess_barra844,844,1.005448,0.0,0.0,False,85.21,20.0,Idling,False
21,bess_barra860,860,1.005247,0.0,0.0,False,104.14,20.0,Idling,False
21,bess_barra848,848,1.00543,0.0,0.0,False,160.42,20.0,Idling,False
22,bess_barra890,890,0.974825,0.0,0.0,False,180.26,20.0,Idling,False
22,bess_barra840,840,1.019408,0.0,0.0,False,205.44,20.0,Idling,False
22,bess_barra844,844,1.019864,0.0,0.0,False,85.21,20.0,Idling,False
22,bess_barra860,860,1.019661,0.0,0.0,False,104.14,20.0,Idling,False
22,bess_barra848,848,1.019972,0.0,0.0,False,160.42,20.0,Idling,False
23,bess_barra890,890,0.99699,0.0,0.0,False,180.26,20.0,Idling,False
23,bess_barra840,840,1.037732,-11.7838,-0.1316,True,205.44,20.0,Idling,False
23,bess_barra844,844,1.038112,-5.0825,-0.1369,True,85.21,20.0,Idling,False
23,bess_barra860,860,1.03789,-6.0694,-0.1337,True,104.14,20.0,Idling,False
23,bess_barra848,848,1.038399,-9.866,-0.1411,True,160.42,20.0,Idling,False
24,bess_barra890,890,1.004701,0.0,0.0,False,180.26,20.0,Idling,False
24,bess_barra840,840,1.043014,-17.5222,-0.1957,True,205.44,20.0,Idling,False
24,bess_barra844,844,1.043352,-7.4437,-0.2005,True,85.21,20.0,Idling,False
24,bess_barra860,860,1.043086,-8.9257,-0.1967,True,104.14,20.0,Idling,False
24,bess_barra848,848,1.043792,-14.4579,-0.2068,True,160.42,20.0,Idling,False
